actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
226,4,17.0297,8.04435,18.1674,19.021
229,7,21.8983,18.1623,23.0009,14.0969
230,25,34.9549,29.6262,35.9804,35.0757
221,16,24.6327,14.9284,25.6784,18.4834
221,10,21.4999,9.87237,22.5943,17.2488
52,18,12.3745,7.34767,12.898,10.0924
48,13,7.97636,2.03617,8.51139,0.170769
46,12,7.37583,3.10746,7.8985,1.2369
42,11,5.21932,9.08428,5.72354,4.0685
41,6,0.504963,14.0377,1.06678,4.22631
40,8,0.991233,16.0137,1.52426,3.59039
34,1,5.42999,19.7934,4.88576,15.4292
35,2,5.15109,13.7878,4.60483,16.4188
34,2,5.95651,17.0972,5.4221,14.0928
31,5,12.057,23.097,11.4913,16.4702
35,4,9.70927,17.169,9.13067,19.6414
32,7,11.3819,20.3607,10.8252,20.3195
131,15,22.9303,2.7218,22.0846,4.20626
126,22,27.5273,3.64823,26.6308,6.35378
128,20,26.1336,19.7424,25.194,9.81975
128,23,26.8561,19.4452,25.9018,12.6338
134,11,18.0166,5.30547,17.0859,4.95651
138,10,18.7602,2.69285,17.8394,6.76677
146,8,18.2573,6.92545,17.478,17.6241
148,8,18.7335,63.5906,18.0063,38.8682
148,9,19.5004,100.881,18.8133,25.6913
151,5,7.83477,64.2796,7.19888,70.7816
145,3,16.6178,7.55355,15.9244,24.0912
148,4,16.7794,6.52317,16.0059,13.7273
54,10,14.7569,16.6449,14.4334,16.6978
52,17,21.2374,19.1371,20.8759,18.9406
52,18,21.6419,26.9889,21.2706,24.1546
60,16,18.946,18.348,18.5415,17.0364
69,6,9.2501,9.63886,8.85343,11.0416
70,8,11.5412,10.1955,11.1414,14.2074
64,14,17.869,15.5049,17.4652,19.1809
69,12,15.1515,14.1299,14.7466,14.061
70,6,12.3932,8.61341,12.0023,6.51884
76,6,10.7788,4.93864,10.3633,8.07927
75,8,13.8311,9.10576,13.38,13.0271
78,8,13.796,7.55278,13.3005,11.0142
151,17,11.0681,9.84324,11.2184,10.0845
141,31,23.3211,26.3663,23.4543,23.1604
143,29,21.0598,27.8973,21.1819,27.1411
149,21,13.0847,15.1922,13.2024,14.6505
148,19,12.7953,11.3904,12.9098,10.4124
153,14,9.37464,12.6256,9.49859,5.18243
168,1,3.15388,0.629095,2.88801,13.2407
172,2,5.25663,4.66706,4.98007,15.0306
172,1,3.40306,7.37539,3.12288,8.95886
170,2,0.222179,3.59172,0.054512,1.76402
167,9,6.22237,17.1294,6.47893,5.65193
167,10,5.95278,16.8728,6.19842,7.73977
336,2,12.3281,22.3198,14.0739,22.4234
301,51,32.7646,39.4296,30.8974,40.3488
313,45,24.8305,46.1083,22.8609,37.2717
302,56,38.2942,48.451,36.2835,41.3692
316,59,37.9911,62.1596,35.8948,36.7451
316,53,34.4102,49.2499,32.4276,40.303
334,37,20.475,28.7748,18.5631,9.32954
352,18,3.94205,21.8916,2.12777,5.57135
358,13,0.270991,14.366,2.03805,14.3687
358,7,5.02632,22.9474,6.75967,0.164388
375,2,12.8554,8.71644,14.7053,24.525
369,7,4.86036,33.4208,6.82192,10.5562
92,24,24.6346,17.7574,24.1156,16.8675
85,42,38.7658,37.816,38.1822,37.8764
93,32,28.6253,35.354,28.0454,30.7858
95,29,24.8443,26.7132,24.2736,22.2429
96,25,22.0745,19.3822,21.5247,16.7566
103,19,15.912,13.9024,15.3897,15.6806
116,5,2.08308,0.169813,1.5362,4.27717
127,6,8.00479,8.9348,8.53179,8.24093
125,5,6.29208,14.4981,6.7973,13.269
124,7,8.26558,14.3544,8.74839,16.3547
121,4,5.07183,3.87895,5.56443,6.26184
122,5,6.19094,6.93542,6.7008,6.47675
661,87,88.9225,60.561,88.8129,74.567
604,187,174.799,175.107,174.65,175.154
620,173,156.329,171.593,156.131,161.176
